Tree name	Trait species	Non-trait species	Permutations	Selective Pressure	p-value	FDR
2972	5	5	20845863	constrained	0.012580500942928487	0.601374154448946
5332	5	4	5567862	accelerated	0.012594989593084915	0.5958598684810997
4220	5	5	20845863	constrained	0.012610139812012835	0.5904890979319072
9489	4	4	4750372	constrained	0.012733284355926055	0.590232746559037
9038	5	4	6850431	accelerated	0.012783810853226663	0.5866490800545716
2895	4	5	8845863	constrained	0.012824870887906972	0.5827062624218327
3996	5	4	5567862	accelerated	0.01318986712419512	0.5934147081659942
2042	5	5	20845863	constrained	0.013865523367274795	0.6177561818681945
8145	4	5	10845863	accelerated	0.013942197986221205	0.6151994861420107
8689	4	4	6850431	constrained	0.013978810378104212	0.6109405792868594
6806	5	5	20845863	accelerated	0.014477901155852124	0.6267838528698622
3801	4	5	5567862	accelerated	0.014513417814672414	0.6224492930049693
8065	5	4	5567862	accelerated	0.01456611674160424	0.618925090066869
6153	5	5	20845863	accelerated	0.01465822115235127	0.6171245584233026
6617	5	5	20845863	accelerated	0.01465822115235127	0.6115143351649089
2065	5	5	20845863	accelerated	0.015268276616824505	0.6312263188703392
3409	5	5	20845863	accelerated	0.015374510909599737	0.6299431300370821
8143	4	4	8845863	accelerated	0.01541351079140274	0.625952221431391
877	5	5	20845863	accelerated	0.01552220248736036	0.6248367299517253
6811	5	4	5567862	accelerated	0.015563008594465133	0.6210317081739174
7072	5	4	5567862	constrained	0.015909423964921253	0.6293822980605485
7124	5	5	20845863	accelerated	0.016024584169996414	0.6285198013343037
7579	5	5	20845863	accelerated	0.016024584169996414	0.6231933623399453
5238	5	5	20845863	constrained	0.016192414387071544	0.6244284842207674
3129	5	5	20845863	accelerated	0.016356530347692244	0.6255009813796643
8019	4	5	5567862	accelerated	0.016444970567260575	0.6236857019269321
7651	5	5	20845863	constrained	0.016519497052371306	0.6213768194535404
8191	4	5	10845863	accelerated	0.016526798885730942	0.6165973990782057
2657	5	5	20845863	constrained	0.016663662813645657	0.6166899084824187
5259	5	4	10845863	constrained	0.017126101436267364	0.6287334359282475
6181	5	5	20845863	constrained	0.0172573034633642	0.6285219491537961
6304	5	5	20845863	constrained	0.01729317704600998	0.6248692083790536
3599	5	4	6850431	constrained	0.017444534324110746	0.6254138126042517
9615	4	4	5567862	accelerated	0.017488465788184304	0.6221284457517656
2599	5	4	10845863	accelerated	0.017551129678580746	0.6195548776539004
6384	5	5	20845863	constrained	0.01763033117167821	0.6175999217315367
8785	5	4	4750372	accelerated	0.01768846819676162	0.6149422769313566
6754	4	5	5567862	constrained	0.017692429225974176	0.610455321187936
5622	5	5	20845863	constrained	0.01790475448705141	0.6131710323961114
6087	5	5	20845863	constrained	0.01794206684974983	0.6098973686926072
8348	5	4	10845863	accelerated	0.018397625236785342	0.6207845750853525
5491	5	4	5567862	constrained	0.018569495168339476	0.622010316259196
1855	5	5	20845863	accelerated	0.0185792933912865	0.6178288215406793
8859	4	5	5567862	accelerated	0.018594449723635775	0.6138843869191696
7471	5	4	10845863	accelerated	0.018595411470088585	0.6095310231159752
2472	4	4	5567862	constrained	0.018832458683103626	0.6129230701898053
8236	4	5	8845863	constrained	0.018879860773655482	0.6101385992275
5273	5	5	20845863	constrained	0.019134431838706233	0.6140413126421183
2040	5	5	20845863	constrained	0.019334038591342247	0.6161382159421498
3374	4	5	8845863	constrained	0.01990168269502424	0.6298539440514913
1895	4	5	8845863	accelerated	0.01994068412066463	0.6267657495186987
2932	5	4	10845863	accelerated	0.019958143857381372	0.6230470895341709
2665	5	4	4750372	constrained	0.019997381781323178	0.6200539526654869
2664	5	5	20845863	constrained	0.020024940772619133	0.6167412966815382
4277	4	5	8845863	constrained	0.020103741708008906	0.6150404713203524
870	5	5	20845863	accelerated	0.020418480582828025	0.6205324993019722
4115	5	4	10845863	constrained	0.020531085337466618	0.6198496750896995
4102	5	5	20845863	constrained	0.021333559189828707	0.6398673406674767
3857	5	5	20845863	constrained	0.021459692241109996	0.6394709590548946
6395	5	5	20845863	accelerated	0.02202485441007629	0.6520777863731618
1771	5	4	5567862	accelerated	0.022397914681863917	0.6588719902248302
5974	5	5	20845863	constrained	0.023054436051454227	0.6738650129944169
6620	5	5	20845863	accelerated	0.023122512802815742	0.6715772864058319
3940	5	4	4750372	constrained	0.023843890184668603	0.6881736607386428
9147	4	4	3881501	constrained	0.0242175843497814	0.6945905911321677
7127	5	5	20845863	accelerated	0.024364120101754594	0.694453087869266
1918	4	5	8845863	constrained	0.024713580219010274	0.7000655532409762
7872	5	4	6850431	accelerated	0.025209229860612692	0.7097248823947954
1953	5	4	5567862	constrained	0.025322084181868466	0.7085551482353316
6235	5	5	20845863	constrained	0.025586497106757193	0.7116147589267198
151	4	4	3881501	accelerated	0.026047475811622367	0.720071484936958
5153	5	5	20845863	constrained	0.02606417208423309	0.7162184772128481
7781	4	5	5567862	accelerated	0.026169787225173935	0.7148401998590665
5855	5	5	20845863	accelerated	0.02619015995986318	0.7111635742947463
7826	5	5	20845863	constrained	0.026214284803058346	0.7076314880072633
4883	5	5	20845863	accelerated	0.026551663646298684	0.7125472776190915
2857	4	4	6850431	constrained	0.0266087335209564	0.7099271984166797
6321	5	4	5567862	constrained	0.026618681780469146	0.7060874606391497
3377	4	4	3881501	constrained	0.026675261513842974	0.7035216959024448
4729	4	5	10845863	constrained	0.027517875872595122	0.7215973278819372
2304	5	4	5567862	constrained	0.02771989181850507	0.7227646792904532
8379	5	4	5567862	constrained	0.027958020407943367	0.7248551166782604
5194	5	4	5567862	accelerated	0.028215811459191054	0.7274289819450996
3575	4	4	3881501	accelerated	0.028404445823612456	0.7282011278466903
345	5	4	10845863	constrained	0.0287749245743079	0.733600715952772
5349	4	4	6850431	constrained	0.028859592483919217	0.7316943088878745
5445	5	5	20845863	accelerated	0.029324695375324672	0.7394012476778293
5816	5	5	20845863	constrained	0.029339027321378094	0.7357201987858146
6845	5	5	20845863	constrained	0.029444825614582094	0.734360351876724
3303	5	4	10845863	accelerated	0.02985133006629348	0.7404743441849773
6521	5	5	20845863	constrained	0.02988413312398764	0.7373026177740821
4079	5	5	20845863	constrained	0.029933147564447513	0.7345626426376987
8730	5	4	10845863	accelerated	0.030186939355825726	0.7368503441695972
5320	5	5	20845863	accelerated	0.03030095685716927	0.7357200582939143
1332	5	4	6850431	constrained	0.030456950558012657	0.7356155058458952
9450	4	4	4750372	accelerated	0.030475623966304988	0.7322127663946262
9341	4	4	5567862	accelerated	0.030811180893511647	0.7364193183350257
2208	5	4	5567862	constrained	0.03099945765585211	0.7370803688223074
3735	5	4	6850431	constrained	0.031607293559830094	0.7476591244642284
6407	4	5	5567862	constrained	0.03183023110569362	0.7490714386873233
1807	5	4	6850431	constrained	0.031881309815209743	0.7464455650101914
8763	5	4	10845863	constrained	0.03201200913401906	0.7457010655635202
8336	4	5	5567862	constrained	0.032116541947344986	0.7443576312947785
2541	4	4	5567862	constrained	0.032356311310825905	0.7461462944993974
8376	4	5	8845863	accelerated	0.03236024320731856	0.7425057803919245
4241	5	4	10845863	constrained	0.03242982231420952	0.7404002716413307
3262	5	5	20845863	accelerated	0.032605674811359786	0.740729909452129
3475	5	5	20845863	accelerated	0.03272102586819425	0.7396886094046474
180	4	4	3074060	accelerated	0.032901416150361795	0.7401205819314229
8554	4	4	4750372	accelerated	0.03311657509628163	0.7413266493504215
6790	4	5	5567862	constrained	0.03312554759203137	0.7379278538826793
7779	5	5	20845863	accelerated	0.03411301179114279	0.7562541599495375
3589	5	4	5567862	constrained	0.034127643189844174	0.7529411278759371
2727	5	5	20845863	constrained	0.03438645958337342	0.7550213542014385
4893	5	5	20845863	accelerated	0.03442192614384676	0.7522010432100608
9417	4	4	3074060	accelerated	0.03484797209350754	0.7579021039673275
2969	5	4	6850431	constrained	0.03495180932437338	0.7565747782525918
9191	4	4	3074060	accelerated	0.035079028871151885	0.7557636783554742
8532	4	4	5567862	constrained	0.0353720729780204	0.7585160882996991
5040	5	5	20845863	accelerated	0.035533499597518836	0.7584336262930881
7724	5	5	20845863	accelerated	0.03578406666024336	0.7602457495548925
5388	5	4	5567862	accelerated	0.03585697730308224	0.758284188220481
5709	5	5	20845863	accelerated	0.03617148114979474	0.7614262706257251
4047	5	5	20845863	accelerated	0.03630065130162441	0.760656113347737
4359	5	5	20845863	accelerated	0.03630065130162441	0.7571985855597927
2910	5	5	20845863	accelerated	0.036561390753720335	0.7591865256507812
3658	5	4	10845863	accelerated	0.03658676311943576	0.7562912430409492
720	5	5	20845863	constrained	0.03670385465482276	0.7553093677622494
1425	5	4	10845863	constrained	0.03716473118596649	0.7613792473767867
4860	5	5	20845863	constrained	0.037214717492179514	0.7590148380960524
8452	5	4	4750372	constrained	0.037648890140470376	0.7644723754629139
785	4	4	10845863	accelerated	0.037680813510702404	0.7617500140996183
4244	5	5	20845863	constrained	0.037724908898845035	0.759296521652631
3512	5	5	20845863	constrained	0.037914444191112576	0.7597789711485398
2560	5	5	20845863	constrained	0.03797698316406725	0.7577233727821939
520	4	4	3881501	constrained	0.038013962714925416	0.7551778134146873
4469	5	4	10845863	accelerated	0.03815170979003113	0.7546473975278141
5658	5	5	20845863	constrained	0.038428472344585136	0.7568594832158849
6938	5	5	20845863	accelerated	0.038685692745474176	0.7586694188417991
6960	5	5	20845863	constrained	0.038761214211425275	0.7569157958137472
6160	5	4	5567862	constrained	0.03890151964111902	0.7564367526826067
3833	5	5	20845863	accelerated	0.03901523977473342	0.7554469844989522
7789	5	5	20845863	accelerated	0.039078385361586254	0.7534903799341147
7092	4	5	5567862	accelerated	0.039080785998746204	0.7503837947625369
231	4	4	10845863	constrained	0.0394445464540835	0.7542125986574548
5663	5	5	20845863	constrained	0.03954602077080435	0.7530153083702124
7609	4	5	5567862	constrained	0.03965463998965859	0.7519634004650548
9490	4	4	3074060	constrained	0.03987609794348334	0.7530510842084158
5635	5	4	10845863	constrained	0.03994695781506007	0.7512974975955355
4522	5	5	20845863	accelerated	0.03995474630252838	0.7483768603359294
6601	4	5	10845863	accelerated	0.0399577343688462	0.7453904187749398
8419	4	5	10845863	accelerated	0.0399577343688462	0.7423726438001425
7745	5	5	20845863	accelerated	0.04002307405000438	0.740588253288186
1178	5	5	20845863	constrained	0.040140812444565	0.7397838887875855
6387	5	5	20845863	constrained	0.040140812444565	0.7368247532324351
6873	4	5	10845863	constrained	0.04023237251862243	0.7355631772428619
8286	5	4	5567862	constrained	0.04053465778970568	0.7381489864958705
7048	5	5	20845863	accelerated	0.04070990226445059	0.7384100454212007
5125	5	5	20845863	constrained	0.04107045619590966	0.7420170215867301
4119	5	5	20845863	constrained	0.041343440731230224	0.7440198020220216
4800	4	4	3074060	accelerated	0.04135985009772558	0.7414076253846199
5525	5	5	20845863	accelerated	0.04153060296166233	0.7415717392648578
7620	5	5	20845863	constrained	0.0415519679201926	0.7390774449060614
346	4	4	5567862	constrained	0.04157843700617728	0.7366928471866699
8613	5	4	4750372	constrained	0.04190665250639717	0.73965241673791
5656	5	5	20845863	constrained	0.04196950189146822	0.7379235409193398
5670	5	4	10845863	accelerated	0.042656881660179224	0.7471466791548186
6134	5	5	20845863	accelerated	0.04286769636838017	0.7479842533631049
5639	5	4	10845863	accelerated	0.042870904076813376	0.7452067379109719
7360	5	4	10845863	accelerated	0.042870904076813376	0.7423946370131946
7174	5	5	20845863	accelerated	0.04300886226239309	0.7419837177523378
4238	4	5	8845863	accelerated	0.04312467530176434	0.7411952620217099
9752	4	4	3881501	accelerated	0.04316801530739012	0.7391717247970643
